"astro-ph/0304351","Revnivtsev Mikhail","M. Revnivtsev (MPA, Garching, Germany; Space Research Institute,
  Moscow, Russia)","Distribution of the Galactic Bulge emission at |b|>2deg according to the
  RXTE Galactic Center scans","6 pages, 7 figures. Accepted for publication in Astronomy &
  Astrophysics","Astron.Astrophys. 410 (2003) 865-870","10.1051/0004-6361:20031312",,"astro-ph",,"  We present an analysis of the Galactic bulge emission observed by the
RXTE/PCA during a set of scans over the Galactic Center field, performed in
1999-2001. The total exposure time of these observations is close to 700 ksec.
We construct the distribution of Galactic ridge emission intensity and spectral
parameters up to Galactic latitudes b=-10deg;+9deg. We show that the intensity
distribution of the ridge emission at |b|>2deg could be well described by an
exponential model with e-folding width b_0~ 3.3deg. Best-fit spectral
parameters do not show statistically significant changes over Galactic latitude
","[{""version"":""v1"",""created"":""Sat, 19 Apr 2003 17:17:41 GMT""},{""version"":""v2"",""created"":""Mon, 25 Aug 2003 11:42:04 GMT""}]","2009-11-07"
"astro-ph/0304352","Carlos Allende Prieto","C. Allende Prieto (1), T.C. Beers (2), Y. Li (2), H.J. Newberg (3), R.
  Wilhelm (4), B. Yanny (5) ((1) University of Texas, (2) Michigan State
  University, (3) Rensselaer Polytechnical Institute, (4) Texas Tech
  University, (5) Fermi National Accelerator Laboratory)","New Resources to Explore the Old Galaxy: Mining the SDSS","12 pages, 9 figures, to appear in the Carnegie Observatories
  Astrophysics Series, Vol. 4: Origin and Evolution of the Elements, ed. A.
  McWilliam and M. Rauch; version with full res. images available at
  http://hebe.as.utexas.edu/recent_publi.html",,,,"astro-ph",,"  The Sloan Digital Sky Survey (SDSS) is collecting photometry and intermediate
resolution spectra for ~ 10**5 stars in the thick-disk and stellar halo of the
Milky Way. This massive dataset can be used to infer the properties of the
stars that make up these structures, and considerably deepen our vision of the
old components of the Galaxy. We devise tools for automatic analysis of the
SDSS photometric and spectroscopic data based on plane-parallel line-blanketed
LTE model atmospheres and fast optimization algorithms. A preliminary study of
about 5000 stars in the Early Data Release gives a hint of the vast amount of
information that the SDSS stellar sample contains.
","[{""version"":""v1"",""created"":""Sat, 19 Apr 2003 22:52:21 GMT""}]","2007-05-23"
"astro-ph/0304353","Revnivtsev Mikhail","M. Revnivtsev (MPA, Garching, Germany; IKI, Moscow Russia)","RXTE observations of strongly absorbed sources IGR J16318-4848 and IGR
  J16358-4726","4 pages, 4 figures. Submitted to Astronomy Letters",,"10.1134/1.1615332",,"astro-ph",,"  Results of analysis of RXTE observations of strongly absorbed X-ray sources
IGR J16318-4848 and IGR J16358-4726 are presented. Careful subtraction of
Galactic ridge emission contribution to the observed spectra of RXTE/PCA
allowed us to obtain the spectra of the sources in 3-25 keV energy band.
Spectra of the sources cold be well described by a power law with
photoabsorption. It is shown that the value of absorption column in the case of
RXTE observation of IGR J16318-4848 performed on March 14.1, 2003 is somewhat
higher that that obtained by XMM observatory on Feb 10.7 2003. This could imply
that the source has variable absorption, presumably connected with an orbital
phase of the binary system. It is noted, that all three X-ray sources,
discovered by INTEGRAL observatory in the sky region of (l,b)~(336,0) (IGR
J16318-4848, IGR J16320-4751 and IGR J16358-4726) have large intrinsic
photoabsorption and could be high mass X-ray binaries. This hypothesis has
indirect support from the fact that their are located close to the Norma spiral
arm tangent, i.e. in the region of enhanced concentrations of young massive
stars. If they are reside within this spiral arm some rough estimation of the
sources distance could be made -- D~6-8 kpc.
","[{""version"":""v1"",""created"":""Sun, 20 Apr 2003 11:53:28 GMT""}]","2009-11-07"
"cond-mat/0304448","Andrei Lopatin","I.S. Beloborodov, K.B. Efetov, A.V. Lopatin, V.M. Vinokur","Transport properties of granular metals at low temperatures",,"Phys. Rev. Lett. 91, 246801 (2003)","10.1103/PhysRevLett.91.246801",,"cond-mat.mes-hall",,"  We investigate transport in a granular metallic system at large tunneling
conductance between the grains, $g_T\gg 1$. We show that at low temperatures,
$T\leq g_T\delta $, where $\delta$ is the single mean energy level spacing in a
grain, the coherent electron motion at large distances dominates the physics,
contrary to the high temperature ($T>g_T\delta $) behavior where conductivity
is controlled by the scales of the order of the grain size. The conductivity of
one and two dimensional granular metals, in the low temperature regime, decays
with decreasing temperature in the same manner as that in homogeneous
disordered metals, indicating thus an insulating behavior. However, even in
this temperature regime the granular structure remains important and there is
an additional contribution to conductivity coming from short distances. Due to
this contribution the metal-insulator transition in three dimensions occurs at
the value of tunnel conductance $g_T^C=(1/6\pi)\ln (E_C/\delta)$, where $E_C$
is the charging energy of an isolated grain, and not at the generally expected
$g_T^C\propto 1$. Corrections to the density of states of granular metals due
to the electron-electron interaction are calculated. Our results compare
favorably with the logarithmic dependence of resistivity in the high-$T_c$
cuprate superconductors indicating that these materials may have a granular
structure.
","[{""version"":""v1"",""created"":""Sat, 19 Apr 2003 22:50:39 GMT""}]","2009-11-10"
"cs/0304026","Oded Regev","Irit Dinur, Venkatesan Guruswami, Subhash Khot, Oded Regev","A New Multilayered PCP and the Hardness of Hypergraph Vertex Cover",,,,,"cs.CC",,"  Given a $k$-uniform hyper-graph, the E$k$-Vertex-Cover problem is to find the
smallest subset of vertices that intersects every hyper-edge. We present a new
multilayered PCP construction that extends the Raz verifier. This enables us to
prove that E$k$-Vertex-Cover is NP-hard to approximate within factor
$(k-1-\epsilon)$ for any $k \geq 3$ and any $\epsilon>0$. The result is
essentially tight as this problem can be easily approximated within factor $k$.
Our construction makes use of the biased Long-Code and is analyzed using
combinatorial properties of $s$-wise $t$-intersecting families of subsets.
","[{""version"":""v1"",""created"":""Sat, 19 Apr 2003 17:59:33 GMT""}]","2007-05-23"
"gr-qc/0304068","Kirill Bronnikov","K.A. Bronnikov, H. Dehnen and V.N. Melnikov","On a general class of brane-world black holes","9 pages, revtex4","Phys.Rev.D68:024025,2003","10.1103/PhysRevD.68.024025",,"gr-qc",,"  We use the general solution to the trace of the 4-dimensional Einstein
equations for static, spherically symmetric configurations as a basis for
finding a general class of black hole (BH) metrics, containing one arbitrary
function $g_{tt} = A(r)$ which vanishes at some $r = r_h > 0$, the horizon
radius. Under certain reasonable restrictions, BH metrics are found with or
without matter and, depending on the boundary conditions, can be asymptotically
flat or have any other prescribed large $r$ behaviour. It is shown that this
procedure generically leads to families of solutions unifying non-extremal
globally regular BHs with a Kerr-like global structure, extremal BHs and
symmetric wormholes. Horizons in space-times with zero scalar curvature are
shown to be either simple or double. The same is generically true for horizons
inside a matter distribution, but in special cases there can be horizons of any
order. A few simple examples are discussed. A natural application of the above
results is the brane world concept, in which the trace of the 4D gravity
equations is the only unambiguous equation for the 4D metric, and its solutions
can be continued into the 5D bulk according to the embedding theorems.
","[{""version"":""v1"",""created"":""Sat, 19 Apr 2003 19:47:41 GMT""}]","2011-08-03"
"gr-qc/0304069","Bahram Mashhoon","John C. Hauck and Bahram Mashhoon","Electromagnetic Waves in a Rotating Frame of Reference","LaTeX file, 2 PS figures, 18 pages, a few minor corrections, accepted
  for publication in Annalen der Physik, in press","Annalen Phys. 12 (2003) 275-288","10.1002/andp.200310011",,"gr-qc astro-ph",,"  We discuss the electromagnetic measurements of rotating observers and study
the propagation of electromagnetic waves in a uniformly rotating frame of
reference. The phenomenon of helicity-rotation coupling is elucidated and some
of the observational consequences of the coupling of the spin of a particle
with the rotation of a gravitational source are briefly examined.
","[{""version"":""v1"",""created"":""Sun, 20 Apr 2003 00:19:49 GMT""},{""version"":""v2"",""created"":""Wed, 18 Jun 2003 00:20:31 GMT""}]","2009-11-10"
"gr-qc/0304070","Jose M. Martin-Garcia","Jose M. Martin-Garcia and Carsten Gundlach","Global structure of Choptuik's critical solution in scalar field
  collapse","28 pages, 25 figures. Version with non-bitmapped figures can be found
  at http://www.maths.soton.ac.uk/staff/Martin-Garcia/critcont","Phys.Rev. D68 (2003) 024011","10.1103/PhysRevD.68.024011",,"gr-qc",,"  At the threshold of black hole formation in the gravitational collapse of a
scalar field a naked singularity is formed through a universal critical
solution that is discretely self-similar. We study the global spacetime
structure of this solution. It is spherically symmetric, discretely
self-similar, regular at the center to the past of the singularity, and regular
at the past lightcone of the singularity. At the future lightcone of the
singularity, which is also a Cauchy horizon, the curvature is finite and
continuous but not differentiable. To the future of the Cauchy horizon the
solution is not unique, but depends on a free function (the null data coming
out of the naked singularity). There is a unique continuation with a regular
center (which is self-similar). All other self-similar continuations have a
central timelike singularity with negative mass.
","[{""version"":""v1"",""created"":""Sun, 20 Apr 2003 10:48:55 GMT""}]","2009-11-10"
"hep-ph/0304185","Taekoon Lee","Taekoon Lee","Heavy quark mass determination from the quarkonium ground state energy:
  a pole mass approach","16 pages; published version","JHEP0310:044,2003","10.1088/1126-6708/2003/10/044",,"hep-ph",,"  The heavy quark pole mass in perturbation theory suffers from a renormalon
caused, inherent uncertainty of $O(\Lambda_{\rm QCD})$. This fundamental
difficulty of determining the pole mass to an accuracy better than the inherent
uncertainty can be overcome by direct resummation of the first infrared
renormalon. We show how a properly defined pole mass as well as the $\bar {\rm
MS}$ mass for the top and bottom quarks can be determined accurately from the
$O(m\alpha_s^5)$ quarkonium ground state energy.
","[{""version"":""v1"",""created"":""Sun, 20 Apr 2003 04:34:57 GMT""},{""version"":""v2"",""created"":""Wed, 22 Oct 2003 09:27:48 GMT""},{""version"":""v3"",""created"":""Wed, 5 Nov 2003 06:15:56 GMT""}]","2009-11-10"
"hep-th/0304167","Frans Klinkhamer","F.R. Klinkhamer, C. Rupp","Sphalerons, spectral flow, and anomalies","35 pages with revtex4; invited paper for the August special issue of
  JMP on ""Integrability, topological solitons and beyond""","J.Math.Phys. 44 (2003) 3619-3639","10.1063/1.1590420","KA-TP-01-2003","hep-th hep-ph",,"  The topology of configuration space may be responsible in part for the
existence of sphalerons. Here, sphalerons are defined to be static but unstable
finite-energy solutions of the classical field equations. Another manifestation
of the nontrivial topology of configuration space is the phenomenon of spectral
flow for the eigenvalues of the Dirac Hamiltonian. The spectral flow, in turn,
is related to the possible existence of anomalies. In this review, the
interconnection of these topics is illustrated for three particular sphalerons
of SU(2) Yang-Mills-Higgs theory.
","[{""version"":""v1"",""created"":""Sun, 20 Apr 2003 14:37:13 GMT""},{""version"":""v2"",""created"":""Mon, 7 Jul 2003 15:35:03 GMT""}]","2015-06-26"
