"astro-ph/0301054","Christopher M. Hirata","Christopher M. Hirata, Uros Seljak","Shear calibration biases in weak lensing surveys","23 pp, 8 figs, matches MNRAS accepted version","Mon.Not.Roy.Astron.Soc. 343 (2003) 459-480","10.1046/j.1365-8711.2003.06683.x",,"astro-ph",,"  We investigate biases induced by the conversion between the observed image
shape to shear distortion in current weak lensing analysis methods. Such
overall calibration biases cannot be detected by the standard tests such as E/B
decomposition or calibration with stars. We find that the non-Gaussianity of
point spread function has a significant effect and can lead to up to 15 per
cent error on the linear amplitude of fluctuations sigma_8 depending on the
method of analysis. This could explain some of the discrepancies seen in recent
amplitude determinations from weak lensing. Using an elliptical Laguerre
expansion method we develop a re-Gaussianization method which reduces the error
to calibration error of order 1 per cent even for poorly resolved galaxies. We
also discuss a new type of shear selection bias which results in up to roughly
8 percent underestimation of the signal. It is expected to scale with redshift,
inducing errors in the growth factor extraction if not properly corrected for.
Understanding and correcting for such effects is crucial if weak lensing is to
become a high precision probe of cosmology.
","[{""version"":""v1"",""created"":""Sat, 4 Jan 2003 17:37:16 GMT""},{""version"":""v2"",""created"":""Fri, 4 Apr 2003 19:14:45 GMT""}]","2009-11-07"
"astro-ph/0301055","Daryl Macomb","D.J. Macomb (1), D.W. Fox (2), R.C. Lamb (2), and T.A. Prince (2) ((1)
  Department of Physics, Boise State University, (2) Space Radiation
  Laboratory, California Institute of Technology)","Three New Long Period X-ray Pulsars Discovered in the Small Magellanic
  Cloud","Accepted for publication in the Astrophysical Journal","Astrophys.J.584:L79-L82,2003","10.1086/368402",,"astro-ph",,"  The Small Magellanic Cloud is increasingly an invaluable laboratory for
studying accreting and isolated X-ray pulsars. We add to the class of compact
SMC objects by reporting the discovery of three new long period X-ray pulsars
detected with the {\it Chandra X-ray Observatory}. The pulsars, with periods of
152, 304 and 565 seconds, all show hard X-ray spectra over the range from 0.6 -
7.5 keV. The source positions of the three pulsars are consistent with known
H-alpha emission sources, indicating they are likely to be Be type X-ray binary
star systems.
","[{""version"":""v1"",""created"":""Sat, 4 Jan 2003 22:36:57 GMT""}]","2010-05-12"
"astro-ph/0301056","Simon Pustilnik","S. Pustilnik, A. Zasov, A.Kniazev, A. Pramskij, A. Ugryumov, A.
  Burenkov","Possibly interacting Vorontsov-Velyaminov galaxies. II. The 6m telescope
  spectroscopy of VV 080, 131, 499, 523 and 531","Accepted to A&A 29.11.2002. A&A printer format, in total 18 pages,
  all figures are given with reduced resolution. The full resolution figures
  are in the paper version in one ps-gzippd file (1.3 Mbt) on this
  http://precise.sao.ru/Laboratory/Publications/2003/ms3026.ps.gz","Astron.Astrophys. 400 (2003) 841-858","10.1051/0004-6361:20021913",,"astro-ph",,"  In continuation of the program formulated in Paper I we present results of
long-slit spectroscopy with the Russian 6m telescope of five more objects from
the Vorontsov-Velyaminov Atlas and Catalogue of Interacting galaxies. These are
the galaxies for which the interaction is not evident, although all of them are
classified as multiple systems (usually as ``nests'', ``chains'' and similar
systems). The spectrophotometry data enable us to derive for all galaxies
abundances of O, and for some of them abundances of N, Ne and S. For two of
them chemical abundances are given for the first time. In spectra of three of
the studied galaxies [Oiii]4363 line is measured, and T_e and oxygen abundance
are derived by the classical method. For the two others, empirical methods are
used. For all 5 galaxies, the radial velocity distribution along the slit was
obtained in the Ha-line. The studied galaxies represent a rather mixed sample:
from very low luminosity irregular galaxies, like VV 499 (DDO 053), to rather
bright VV 523 (NGC 3991). Their metallicities vary from Z=1/25 Zo for VV 499 to
1/2 Zo for VV 523. The morphology of these galaxies ranges between typical dIrr
(VV 080) through ring-like (VV 131) to clumpy Irr (VV 523). Position--Velocity
diagrams in the Ha-line along the galaxy body imply the existence of
large-scale ionized gas outflows/supershells around the sites of intense
current and/or recent SF activity. Sizes of supershells vary in the range of
several hundred pc to about 2 kpc. For all studied galaxies we examine their
local environment and indicate the nearest neighbouring objects capable of
inducing the observed enhanced star formation.
","[{""version"":""v1"",""created"":""Sun, 5 Jan 2003 00:41:07 GMT""}]","2009-11-07"
"astro-ph/0301057","James S. Ulvestad","James S. Ulvestad","VLBI Imaging of Seyfert Galaxies","Conference Proceedings ""Radio Astronomy at the Fringe"", to be
  published in ASP Conference Series. 8 pages, uses rafringe.sty",,,,"astro-ph",,"  The advent of the Very Long Baseline Array and its phase-referencing
capability have enabled milliarcsecond-scale imaging of radio sources at
sub-millijansky sensitivity, opening the door to high-resolution imaging of
Seyfert galaxies. Over the last few years, this has led to a number of
interesting new results that shed light on the characteristics of the inner
cores of Seyfert galaxies. These include the following: (1) classical Seyfert
galaxies with steep radio spectra have a strong tendency to exhibit radio jets
at milliarcsecond scales, sometimes with considerable curvature in the jets;
(2) apparent speeds of jets imaged at multiple epochs generally are
considerably less than c, often in the vicinity of 0.1c or less, although there
sometimes are faster motions seen after strong outbursts; and (3) lower
luminosity Seyfert galaxies have a much stronger tendency to show flat or
somewhat inverted radio spectra, usually are unresolved on milliarcsecond
scales, and probably are dominated by a combination of low-radiative-efficiency
accretion flows and very compact radio jets. This paper discusses some examples
that illustrate these properties, and summarizes some of what we have learned
about weak active galaxies on milliarcsecond scales.
","[{""version"":""v1"",""created"":""Sun, 5 Jan 2003 01:16:08 GMT""}]","2007-05-23"
"cond-mat/0301039","Oksana Patsahan","O.V.Patsahan","Critical behaviour of ionic fluids","14 pages, 2 figures",,,,"cond-mat.soft",,"  Recently we proposed a microscopic approach to the description of the phase
behaviour and critical phenomena in binary fluid mixtures. It was based on the
method of collective variables (CV) with a reference system. The approach
allowed us to obtain the functional of the Ginzburg-Landau-Wilson (GLW)
Hamiltonian expressed in terms of the CV (fluctuating densities). The
corresponding set of CV included the variable connected with the order
parameter. In this paper we use this approach to the study of the critical
behaviour of ionic fluids. For the restricted primitive model (RPM) we obtain
the functional of the grand partition function in the phase space of the two
fluctuating fields conjugate to the fluctuating densities. First we calculate
the phase diagram of the RPM in the mean-field (MF) approximation and then we
do this calculation taking into account the terms of the higher orders in the
effective Hamiltonian. In the both cases the phase diagrams demonstrate the
gas-liquid (GL) and charge ordering phase instabilities. In the latter case,
the obtained value for the GL critical temperature is in good agreement with
the MC simulation data whereas the critical density is underestimated. The
explicit expression found for the grand thermodynamic potential in the vicinity
of the GL critical point implies a classical critical behaviour of the RPM.
","[{""version"":""v1"",""created"":""Sat, 4 Jan 2003 17:15:52 GMT""}]","2016-08-31"
"cond-mat/0301041","Sandy Shaw","Sandy Shaw","Evidence of Scale-Free Topology and Dynamics in Gene Regulatory Networks","4 pages, 3 figures, presented at the ISCA 12th International
  Conference IASSE July 9-11, 2003, San Francisco, California (replaces earlier
  version posted Jan. 2003)","S. Shaw, ""Evidence of Scale-Free Topology and Dynamics in Gene
  Regulatory Networks,"" in Proceedings of the ISCA 12th International
  Conference on Intelligent and Adaptive Systems and Software Engineering, pp.
  37-40, 2003",,,"cond-mat.dis-nn physics.bio-ph q-bio.MN",,"  Temporal gene expression data (Wen, et. al.) was analyzed using the recently
introduced inverse modeling technique of Embedded Complex Logistic Maps (ECLM).
Preliminary results indicate scale-free structure in the gene regulatory
network topology as well as in the network's energy dissipation
characteristics. General agreement was found with other recent studies
involving a dynamical model and analyses of other biochemical networks
exhibiting scale-free topology. The highlights of our study are briefly
outlined.
","[{""version"":""v1"",""created"":""Sun, 5 Jan 2003 01:35:46 GMT""},{""version"":""v2"",""created"":""Tue, 16 Sep 2003 08:11:37 GMT""}]","2007-05-23"
"cond-mat/0301042","Jian-Miin Liu","Jian-Miin Liu","On the relativistic generalization of Maxwell's velocity distribution","4 pages with no figure",,,,"cond-mat.stat-mech",,"  Some problems relevant to the relativistic generalization of Maxwell's
velocity distribution are discussed.
","[{""version"":""v1"",""created"":""Sun, 5 Jan 2003 00:43:54 GMT""}]","2007-05-23"
"cond-mat/0301043","Armando Barranon Cedillo","A. Barra\~n\'on (1), J. A. L\'opez (2), C. Dorso (3), Fr.de L.
  Castillo (4) ((1) Dept. of Basic Sciences, Universidad Aut\'onoma
  Metropolitana, Unidad Azcapotzalco, Mexico City, (2) Dept. of Physics, The
  University of Texas at El Paso, USA, (3) Dept. of Physics, Universidad de
  Buenos Aires, Argentina, (4) Dept. of Physics, ESFM-IPN, Zacatenco, Mexico
  City.)","Critical Nucleation in Colossal Magnetoresistance","13 pages, 6 figures. Contributed paper for the National Congress of
  the Sociedad Mexicana de Fisica at Leon (Mexico), Oct. 28- Oct.31, 2002",,,,"cond-mat",,"  Critical exponents have been obtained for a 3D spin particle system. Clusters
are formed and system reaches a critical behavior when fragment size
distribution follows a power law, as predicted by Fisher Liquid Droplet Model.
Also, spontaneous magnetization critical temperature is in agreement with other
theoretical studies. System evolution is reproduced via a genetic algorithm
that performs minimal genetic fluctuations until a stationary state is
attained. Critical exponents are in the range of those belonging to Heavy Ion
collisions previously reported, and therefore belong to the same universality
class.
","[{""version"":""v1"",""created"":""Sun, 5 Jan 2003 07:04:44 GMT""}]","2007-05-23"
"cond-mat/0301044","Piotr Garbaczewski","Piotr Garbaczewski","Dynamics of Uncertainty in Nonequilibrium Random Motion","Significant revision plus title and abstract modification. Presented
  at XVII Marian Smoluchowski Symposium on Statistical Physics, Zakopane,
  Poland, September 4-9, 2004","Acta Phys. Pol. B 36, 1561-1577, (2005)",,,"cond-mat.stat-mech nlin.CD quant-ph",,"  Shannon information entropy is a natural measure of probability
(de)localization and thus (un)predictability in various procedures of data
analysis for model systems. We pay particular attention to links between the
Shannon entropy and the related Fisher information notion, which jointly
account for the shape and extension of continuous probability distributions.
Classical, dynamical and random systems in general give rise to time-dependent
probability densities and associated information measures. The induced dynamics
of Shannon and Fisher functionals reveals an interplay among various
characteristics of the considered diffusion-type systems: information,
uncertainty and localization while put against mean energy and its balance.
","[{""version"":""v1"",""created"":""Sun, 5 Jan 2003 11:20:04 GMT""},{""version"":""v2"",""created"":""Wed, 9 Apr 2003 08:30:06 GMT""},{""version"":""v3"",""created"":""Tue, 1 Jul 2003 08:27:29 GMT""},{""version"":""v4"",""created"":""Tue, 14 Oct 2003 10:30:54 GMT""},{""version"":""v5"",""created"":""Sat, 6 Nov 2004 13:44:05 GMT""}]","2007-05-23"
"cond-mat/0301045","Iakovenko","E. V. Iakovenko (1), M. Gauthier (2), A. Polian (2) ((1) Institute for
  High Pressure Physics, Troitsk, Russia, (2)Physique des Milieux Condenses,
  Universite P&M Curie, Paris, France)","Bond-bending modes and stability of tetrahedral semiconductors under
  high pressure: a puzzle of AlN","4 pages, 3 figures",,,,"cond-mat.mtrl-sci",,"  Lattice vibrations of the wurtzite-type AlN have been studied by Raman
spectroscopy under high pressure up to the structural phase transition at 20
GPa. We have shown that the widely debated bond-bending E_2^1 mode of w-AlN has
an abnormal positive pressure shift up to the threshold of the phase
transition, whereas in many tetrahedral semiconductors the bond-bending modes
soften on compression. This finding disagrees with the results of ab initio
calculations, which give a ""normal"" negative pressure shift. Combination of
high dynamical and low thermodynamical stability of AlN breaks the correlation
between the mode Gruneisen parameters for the bond-bending modes and the
transition pressure, which holds for CdS, InP, ZnO, ZnTe, ZnSe, ZnS, Ge, Si,
GaP, GaN, SiC and BeO.
","[{""version"":""v1"",""created"":""Sun, 5 Jan 2003 12:36:29 GMT""}]","2007-05-23"
