"astro-ph/0312348","Lam Hui","Jun Zhang, Lam Hui, Albert Stebbins","Isolating Geometry in Weak Lensing Measurements","13 pages, 4 figures, submitted to ApJ","Astrophys.J.635:806-820,2005","10.1086/497676",,"astro-ph",,"  Given a foreground galaxy-density field or shear field, its cross-correlation
with the shear field from a background population of source galaxies scales
with the source redshift in a way that is specific to lensing. Such a
source-scaling can be exploited to effectively measure geometrical distances as
a function of redshift and thereby constrain dark energy properties, free of
any assumptions about the galaxy-mass/mass power spectrum (its shape, amplitude
or growth). Such a geometrical method can yield a ~ 0.03 - 0.07 f_{sky}^{-1/2}
measurement on the dark energy abundance and equation of state, for a
photometric redshift accuracy of dz ~ 0.01 - 0.05 and a survey with median
redshift of ~ 1. While these constraints are weaker than conventional weak
lensing methods, they provide an important consistency check because the
geometrical method carries less theoretical baggage: there is no need to assume
any structure formation model (e.g. CDM). The geometrical method is at the most
conservative end of a whole spectrum of methods which obtain smaller errorbars
by making more restrictive assumptions -- we discuss some examples. Our
geometrical approach differs from previous investigations along similar lines
in three respects. First, the source-scaling we propose to use is less
demanding on the photometric redshift accuracy. Second, the scaling works for
both galaxy-shear and shear-shear correlations. Third, we find that previous
studies underestimate the statistical errors associated with similar
geometrical methods, the origin of which is discussed.
","[{""version"":""v1"",""created"":""Sun, 14 Dec 2003 05:10:14 GMT""}]","2008-11-26"
"astro-ph/0312361","Jacob Lund Fisker","Jacob Lund Fisker and Friedrich-Karl Thielemann","The nuclear reaction waiting points, Mg22, Si26, S30, and Ar34, and
  bolometrically double peaked type I X-ray bursts","5 pages, 3 figures, submitted to Astrophys. J. Lett","Astrophys.J. 608 (2004) L61-L64","10.1086/422215",,"astro-ph",,"  Type I X-ray bursts with a double peak in the bolometric luminosity have been
observed from several sources. The separation between the two peaks are on the
order of a few seconds. We propose a nuclear waiting point impedance in the
thermonuclear reaction flow to explain these observations. Nuclear structure
information suggests the potential waiting points: Mg22, Si26, S30 and Ar34,
which arise in conditions, where a further reaction flow has to await a
beta-decay, because the (alpha,p)-reaction is too weak to overcome the target
Coulomb-barrier and the (p,gamma)-reaction is quenched by photo-disintegration
at the burst temperature. The conclusion is that the effects of the
experimentally unknown S30(alpha,p)Cl33 and Ar34(alpha,p)K37 might be directly
visible in the observation of X-ray burst light curves.
","[{""version"":""v1"",""created"":""Sat, 13 Dec 2003 19:49:08 GMT""}]","2009-11-10"
"astro-ph/0312362","Bryan Gaensler","B. M. Gaensler, E. van der Swaluw, F. Camilo, V. M. Kaspi, F. K.
  Baganoff, F. Yusef-Zadeh, R. N. Manchester","The Mouse That Soared: High Resolution X-ray Imaging of the
  Pulsar-Powered Bow Shock G359.23-0.82","19 pages of text, plus 9 embedded EPS figures, uses emulateapj.cls .
  Minor changes following referee's report. ApJ, in press","Astrophys.J. 616 (2004) 383-402","10.1086/424906",,"astro-ph",,"  We present an observation with the Chandra X-ray Observatory of the unusual
radio source G359.23-0.82 (""the Mouse""), along with updated radio timing data
from the Parkes radio telescope on the coincident young pulsar J1747-2958. We
find that G359.23-0.82 is a very luminous X-ray source (L_X [0.5-8.0 keV] =
5e34 ergs/s for a distance of 5 kpc), whose morphology consists of a bright
head coincident with PSR J1747-2958, plus a 45""-long narrow tail whose
power-law spectrum steepens with distance from the pulsar. We thus confirm that
G359.23-0.82 is a bow-shock pulsar wind nebula powered by PSR J1747-2958; the
nebular stand-off distance implies that the pulsar is moving with a Mach number
of ~60, suggesting a space velocity ~600 km/s through gas of density ~0.3
cm^-3. We combine the theory of ion-dominated pulsar winds with hydrodynamic
simulations of pulsar bow shocks to show that a bright elongated X-ray and
radio feature extending 10'' behind the pulsar represents the surface of the
wind termination shock. The X-ray and radio ""trails"" seen in other pulsar bow
shocks may similarly represent the surface of the termination shock, rather
than particles in the postshock flow as is usually argued. The tail of the
Mouse contains two components: a relatively broad region seen only at radio
wavelengths, and a narrow region seen in both radio and X-rays. We propose that
the former represents material flowing from the wind shock ahead of the
pulsar's motion, while the latter corresponds to more weakly magnetized
material streaming from the backward termination shock. This study represents
the first consistent attempt to apply our understanding of ""Crab-like"" nebulae
to the growing group of bow shocks around high-velocity pulsars.
","[{""version"":""v1"",""created"":""Sat, 13 Dec 2003 22:19:47 GMT""},{""version"":""v2"",""created"":""Sat, 24 Jul 2004 12:24:25 GMT""}]","2009-11-10"
"astro-ph/0312363","Eduard Thommes","E. Thommes (1,2), K. Meisenheimer (2), ((1) ITP, Universitaet
  Heidelberg, (2) MPIA, Heidelberg)","The expected abundance of Lyman-$\alpha$ emitting primeval galaxies. I.
  General model predictions","18 pages, 12 figures, submitted to Astronomy & Astrophysics",,,,"astro-ph",,"  We present model calculations for the expected surface density of Ly-$\alpha$
emitting primeval galaxies (PGs) at high redshifts. We assume that elliptical
galaxies and bulges of spiral galaxies (= spheroids) formed early in the
universe and that the Ly-$\alpha$ emitting PGs are these spheroids during their
first burst of star formation at high redshift. One of the main assumptions of
the models is that the Ly-$\alpha$ bright phase of this first starburst in the
spheroids is confined to a short period after its onset due to rapid formation
of dust. The models do not only explain the failure of early surveys for
Ly-$\alpha $ emitting PGs but are also consistent with the limits of new
surveys (e.g. the Calar Alto Deep Imaging Survey - CADIS). At faint detection
limits $S_{lim} \le 10^{-20}$W/m$^2$ the surface density of Ly-$\alpha$
emitters is expected to vary only weakly in the redshift range between $z=3$
and $z=6$ with values $> 10^3 / {deg}^2 / \Delta z = 0.1 $ reaching its maximum
at $z_0 \approx 4$. At shallower detection limits, $S_{lim} \ge 3\times
10^{-20}$W/m$^2$ the surface density of high-z Ly-$\alpha$ emitters is expected
to be a steep function of redshift and detection limit. This explains the low
success in finding bright Ly-$\alpha$ galaxies at $z > 5$. We demonstrate how
the observed surface densities of Ly-$\alpha $ emitting PGs derived from recent
surveys constrain the parameters of our models. Finally, we discuss the
possibility that two Ly-$\alpha$ bright phases occur in the formation process
of galaxies: An initial -- primeval -- phase in which dust is virtually
non-existing, and a secondary later phase in which strong galactic winds as
observed in some Lyman break galaxies facilitate the escape of Ly-$\alpha $
photons after dust has already been formed.
","[{""version"":""v1"",""created"":""Sun, 14 Dec 2003 12:38:59 GMT""},{""version"":""v2"",""created"":""Fri, 19 Nov 2004 10:42:20 GMT""}]","2007-05-23"
"cond-mat/0312342","Dietrich Stauffer","Christian Schulze","Advertising, consensus, and ageing in multilayer Sznajd model","6 pages including 4 figures, for Int. J. Mod. Phys. C",,"10.1142/S0129183104006030",,"cond-mat.stat-mech",,"  In the Sznajd consensus model on the square lattice, two people who agree in
their opinions convince their neighbours of this opinion. We generalize it to
many layers representing many age levels, and check if still a consensus among
all layers is possible. Advertising sometimes but not always produces a
consensus on the advertised opinion.
","[{""version"":""v1"",""created"":""Sat, 13 Dec 2003 17:56:43 GMT""}]","2009-11-10"
"cond-mat/0312343","Harsh Chopra","Matthew R. Suillivan, Ashish A. Shah, Harsh Deep Chopra","Pathways of structural and magnetic transitions in ferromagnetic shape
  memory alloys","20 pages including 6 figures. Physical Review B, in review, portions
  of it appear in MRS 2003 Proceedings volume 785",,,,"cond-mat.mtrl-sci",,"  A fundamental question in the study of ferromagnetic shap ememory alloys is
the nature of magnetoelastic coupling and the extent it drives the structural
transformation. This question also holds the key to developing new and
optimized alloys that combine high strains at low switching field. In the
present study it is shown that the reconfiguration of the micromagnetic
structure is enslaved to and follows the martensitic transformation in these
alloys using the NiMnGa and FePd alloy systems. This is determined by
developing a new, high speed electronic method to study the temperature
dependence of domain dynamics, called magnetic transition spectra. The sequence
of magnetic and structural transition was found to be as follows. For cooling,
structural transition followed by magnetic transition and for heating, magnetic
transition followed by structural transition.
","[{""version"":""v1"",""created"":""Sat, 13 Dec 2003 17:57:57 GMT""}]","2007-05-23"
"cond-mat/0312345","Reza Mahmoodi Baram","Reza Mahmoodi Baram, Hans J. Herrmann","Self-similar space-filling packings in three dimensions","17 pages, 13 figures, submitted to Fractals",,,,"cond-mat",,"  We develop an algorithm to construct new self-similar space-filling packings
of spheres. Each topologically different configuration is characterized by its
own fractal dimension. We also find the first bi-cromatic packing known up to
now.
","[{""version"":""v1"",""created"":""Sun, 14 Dec 2003 13:13:35 GMT""}]","2007-05-23"
"hep-th/0312157","Alexei Nurmagambetov","Alexei J. Nurmagambetov","The Sigma-Model Representation for the Duality-Symmetric D=11
  Supergravity","8 pages, contribution to the 5th International Conference On Symmetry
  In Nonlinear Mathematical Physics, June 23-29, 2003, Kiev, Ukraine","EconfC0306234:894-901,2003",,,"hep-th",,"  In this paper which is based on the results obtained in collaboration with
Igor Bandos and Dmitri Sorokin I present the extention of the ""doubled fields""
formalism by Cremmer, Julia, Lu and Pope to the supersymmetric case and lifting
this construction onto the level of the proper duality-symmetric action for
D=11 supergravity. Further extension of the doubled field formulation to
include dynamical sources is also discussed.
","[{""version"":""v1"",""created"":""Sun, 14 Dec 2003 10:26:40 GMT""}]","2008-11-26"
"hep-th/0312158","Anton Zeitlin M.","Petr P. Kulish, Anton M. Zeitlin","Group Theoretical Structure and Inverse Scattering Method for super-KdV
  Equation","LaTeX2e, 19 pages, Zapiski Nauchnih Seminarov POMI (Steklov
  Institute), vol. 291, 185-205, 2002 (in russian); Engl. transl. : Journal of
  Math. Sci., Kluwer, in press","J.Math.Sci.125:203-214,2005","10.1023/B:JOTH.0000049572.41993.9f",,"hep-th math-ph math.MP nlin.SI",,"  Using the group-theoretical approach to the inverse scattering method the
supersymmetric Korteweg-de Vries equation is obtained by application of the
Drinfeld-Sokolov reduction to osp(1|2) loop superalgebra. The direct and
inverse scattering problems are discussed for the corresponding Lax pair.
","[{""version"":""v1"",""created"":""Sun, 14 Dec 2003 11:04:54 GMT""}]","2016-06-08"
"hep-th/0312159","Anton Zeitlin M.","Petr P. Kulish, Anton M. Zeitlin","Integrable Structure of Superconformal Field Theory and Quantum
  super-KdV Theory","LaTeX2e, elsart.cls, 11 pages, subm. to Physics Letters B","Phys.Lett.B581:125-132,2004","10.1016/j.physletb.2003.12.008",,"hep-th math.QA nlin.SI",,"  The integrable structure of the two dimensional superconformal field theory
is considered. The classical counterpart of our constructions is based on the
$\hat{osp}(1|2)$ super-KdV hierarchy. The quantum version of the monodromy
matrix associated with the linear problem for the corresponding L-operator is
introduced. Using the explicit form of the irreducible representations of
$\hat{osp}_q(1|2)$, the so-called ""fusion relations"" for the transfer matrices
considered in different representations of $\hat{osp}_q(1|2)$ are obtained. The
possible integrable perturbations of the model (primary operators, commuting
with integrals of motion) are classified and the relation with the
supersymmetric $\hat{osp}(1|2)$ Toda field theory is discussed.
","[{""version"":""v1"",""created"":""Sun, 14 Dec 2003 11:36:44 GMT""}]","2009-02-23"
