"astro-ph/0305171","Jere Kahanpaa","J. Kahanpaa, K. Mattila, K. Lehtinen, C. Leinert and D. Lemke","Unidentified Infrared Bands in the Interstellar Medium across the Galaxy",,"Astron.Astrophys. 405 (2003) 999-1012","10.1051/0004-6361:20030440",,"astro-ph",,"  We present a set of 6-12 micron ISOPHOT-S spectra of the general interstellar
medium of the Milky Way. This part of the spectrum is dominated by a series of
strong, wide emission features commonly called the Unidentified Infrared Bands.
The sampled area covers the inner Milky Way from l = -60 degr to +60 degr with
a ten-degree step in galactic longitude and nominal latitudes 0,+-1 degr. For
each grid position the actual observed direction was selected from IRAS 100
micron maps to minimize contamination by point sources and molecular clouds.
All spectra were found to display the same spectral features. Band ratios are
independent of band strength and Galactic coordinates. A comparison of total
observed flux in band features and IRAS 100 micron emission, a tracer for large
interstellar dust grains, shows high correlation at large as well as small
1-arcmin scales. This implies a strong connection between large dust grains and
the elusive band carriers; the evolutionary history and heating energy source
of these populations must be strongly linked. The average mid-infrared spectrum
of the Milky Way is found to be similar to the average spectrum of spiral
galaxy NGC 891 and the spectra of other spirals. The common spectrum can
therefore be used as a template for the 6-12 micron emission of late-type
spiral galaxies. Finally, we show that interstellar extinction only weakly
influences the observed features even at lambda = 10 microns, where the
silicate absorption feature is strongest.
","[{""version"":""v1"",""created"":""Sat, 10 May 2003 16:10:46 GMT""}]","2009-11-07"
"astro-ph/0305172","Mischa Schirmer","Mischa Schirmer (1,2), Thomas Erben (1), Peter Schneider (1), Grzesiek
  Pietrzynski (3,4), Wolfgang Gieren (3), Alberto Micol (5), Francesco
  Pierfederici (5,6) ((1) Institut fuer Astrophysik und Extraterrestrische
  Forschung, (2) Max-Planck-Institut fuer Astrophysik, (3) Universidad de
  Concepcion, (4) Warsaw University Observatory, (5) Space Telescope European
  Coordinating Facility, (6) National Optical Astronomy Observatory)","GaBoDS: The Garching-Bonn Deep Survey -- I. Anatomy of galaxy clusters
  in the background of NGC 300","20 pages, 16 figures, gzipped. An online postscript version with
  higher quality figures (3.3 MBytes) can be downloaded from
  http://www.mpa-garching.mpg.de/~mischa/ngc300/ngc300.ps.gz . Submitted to A&A","Astron.Astrophys. 407 (2003) 869-888","10.1051/0004-6361:20031026",,"astro-ph",,"  The Garching-Bonn Deep Survey (GaBoDS) is a virtual 12 square degree cosmic
shear and cluster lensing survey, conducted with the WFI@2.2m MPG/ESO telescope
at La Silla. It consists of shallow, medium and deep random fields taken in
R-band in subarcsecond seeing conditions at high galactic latitude. A
substantial amount of the data was taken from the ESO archive, by means of a
dedicated ASTROVIRTEL program.
  In the present work we describe the main characteristics and scientific goals
of GaBoDS. Our strategy for mining the ESO data archive is introduced, and we
comment on the Wide Field Imager data reduction as well. In the second half of
the paper we report on clusters of galaxies found in the background of NGC 300,
a random archival field. We use weak gravitational lensing and the red cluster
sequence method for the selection of these objects. Two of the clusters found
were previously known and already confirmed by spectroscopy. Based on the
available data we show that there is significant evidence for substructure in
one of the clusters, and an increasing fraction of blue galaxies towards larger
cluster radii. Two other mass peaks detected by our weak lensing technique
coincide with red clumps of galaxies. We estimate their redshifts and masses.
","[{""version"":""v1"",""created"":""Sat, 10 May 2003 16:58:04 GMT""}]","2007-05-23"
"astro-ph/0305173","Chie Nagashima","C. Nagashima, P. D. Dobbie, T. Nagayama, Y. Nakajima, T. Nagata, M.
  Tamura, T. Nakajima, K. Sugitani, H. Nakaya, S. T. Hodgkin, A. J. Pickles and
  S. Sato","An Optical and Near Infrared Search for Brown Dwarfs in the Pleiades
  Cluster","9 pages, 7 figures, accepted for publication in MNRAS","Mon.Not.Roy.Astron.Soc. 343 (2003) 1263","10.1046/j.1365-8711.2003.06766.x",,"astro-ph",,"  We have carried out a brown dwarf search over an area of 14' x 23' near the
central portion of the Pleiades open cluster in five optical and near infrared
bands (i', Z, J, H, Ks) with 10 sigma detection limits of i' = 22.0, J = 20.0
and Ks = 18.5 mag. The surveyed area has large extinction in excess of Av = 3
in the Pleiades region. We detected four new brown dwarf candidates from the
colour-colour (J-K, i'-J) and the colour-magnitude (J, i'-K) diagrams. We
estimated their masses as 0.046 Msun down to 0.028 Msun. The least massive one
is estimated to have a mass smaller than Roque 25 or int-pl-IZ-69, and maybe
the lowest mass object found so far in the Pleiades cluster.
","[{""version"":""v1"",""created"":""Sat, 10 May 2003 18:44:37 GMT""}]","2009-11-07"
"astro-ph/0305174","Hugo Martel","Hugo Martel, Paul R. Shapiro (Department of Astronomy, University of
  Texas at Austin)","Gravitational Lensing by CDM Halos: Singular versus Nonsingular Profiles","23 pages, 20 figures, submitted to MNRAS. Identical to version 1,
  except for typo in equation (17) corrected",,,,"astro-ph",,"  The gravitational lensing properties of cosmological halos depend upon the
mass distribution within each halo. The description of halos as nonsingular,
truncated isothermal spheres, a particular solution of the isothermal
Lane-Emden equation (suitably modified for Lambda nonzero), has proved to be a
useful approximation for the halos which form from realistic initial conditions
in a CDM universe. The nonsingular TIS model reproduces many of the
quantitative features of the N-body results for CDM halos, except in the very
center, where CDM N-body halos show density profiles which vary as rho ~
r^(-alpha), alpha>1, instead of a small flat core. Possible discrepancies
between these cuspy halo predictions of the CDM N-body simulations and
observations of the inner mass profiles of dwarf and LSB disk galaxies based
upon their rotation curves and of clusters based upon strong lensing
measurements have led to a search for other diagnostics. A description of the
lensing by TIS halos would be useful in this regard, as a self-consistent model
for CDM halos in a proper cosmological context, nonsingular but otherwise
consistent with the CDM N-body results. We derive here the basic lensing
properties of individual TIS halos. For comparison, we also consider three
singular profiles: the Navarro-Frenk-White density profile, the singular
isothermal sphere, and the Schwarzschild lens. For all profiles, we compute the
critical curves and caustics, the image separation, the magnification and
brightness ratio, the shear, the time delay, and the average shear inside the
tidal radius. This provides tools for studying the statistical properties of
lensing by TIS and other lenses in the context of a theory of cosmological
structure formation.
","[{""version"":""v1"",""created"":""Sat, 10 May 2003 20:27:36 GMT""},{""version"":""v2"",""created"":""Sun, 1 Jun 2003 14:38:05 GMT""}]","2007-05-23"
"astro-ph/0305175","Taichi Kato","T. Kato (Kyoto U), K. Haseda (VSOLJ)","New R CrB-Type Star HadV98","3 pages, 1 figure, submitted to Inf. Bull. Var. Stars",,,,"astro-ph",,"  HadV98 = CoD-22 12017 = GSC 6825.253 is a variable star discovered by Katsumi
Haseda. This object has been recently confirmed to be a new R CrB star
(Hasselbach et al. 2002), as had been originally proposed by us at the time of
the discovery alert in VSNET. We studied the light curve based on Haseda's
photographic material and ASAS-3 V-band data. There was only major fading
episode in the past decade. The fading started in 2001 May was composed of at
least two minima, and followed by a slow recovery.
","[{""version"":""v1"",""created"":""Sun, 11 May 2003 04:25:51 GMT""}]","2007-05-23"
"astro-ph/0305176","D. J. Saikia","P. Thomasson (1), D.J. Saikia (1,2) and T.W.B. Muxlow (1) ((1) Jodrell
  Bank Observatory, England; (2) TIFR, NCRA, India)","3C459: A highly asymmetric radio galaxy with a starburst","10 pages, 6 figures, 2 tables","Mon.Not.Roy.Astron.Soc. 341 (2003) 91","10.1046/j.1365-8711.2003.06393.x",,"astro-ph",,"  Multifrequency radio observations of the radio galaxy 3C459 using MERLIN, VLA
and the EVN, and an optical HST image using the F702W filter are presented. The
galaxy has a very asymmetric radio structure, a high infrared luminosity and a
young stellar population. The eastern component of the double-lobed structure
is brighter, much closer to the nucleus and is significantly less polarized
than the western one. This is consistent with the jet on the eastern side
interacting with dense gas, which could be due to a merged companion or dense
cloud of gas. The HST image of the galaxy presented here exhibits filamentary
structures, and is compared with the MERLIN 5-GHz radio map. EVN observations
of the prominent central component, which has a steep radio spectrum, show a
strongly curved structure suggesing a bent or helical radio jet. The radio
structure of 3C459 is compared with other highly asymmetric, Fanaroff-Riley II
radio sources, which are also good candidates for studying jet-cloud
interactions. Such sources are usually of small linear size and it is possible
that the jets are interacting with clouds of infalling gas that fuel the radio
source.
","[{""version"":""v1"",""created"":""Sun, 11 May 2003 10:26:59 GMT""}]","2009-11-07"
"cond-mat/0305229","Klaus Kroy","Klaus Kroy and Xiang Guo","Comment on ""Relevant Length Scale of Barchan Dunes""","1 page, 1 eps-figure",,"10.1103/PhysRevLett.93.039401",,"cond-mat.soft",,"  In a recent experimental breakthrough, Hersen et al. [1] demonstrated that by
changing the agitating medium from air to water, one can obtain, on laboratory
scale, dunes that are downsized copies of desert dunes, thereby overcoming a
major obstacle for their systematic study. Here we argue in two steps (i),(ii)
that an alternative data analysis leads to some conclusions that are
qualitatively and quantitatively different from Hersen et al.'s but justify
their similarity hypothesis on different grounds.
  [1] P. Hersen, S. Douady, and B. Andreotti, Phys. Rev. Lett. 89 (2002) 264301
","[{""version"":""v1"",""created"":""Sat, 10 May 2003 17:39:05 GMT""},{""version"":""v2"",""created"":""Mon, 5 Apr 2004 09:52:34 GMT""}]","2009-11-10"
"cond-mat/0305230","Sung Yong Park","Sung Yong Park and D. Stroud","Theory of Melting and the Optical Properties of Gold/DNA Nanocomposites","5 pages, 4 figure. To be published in Phys. Rev. B",,"10.1103/PhysRevB.67.212202",,"cond-mat q-bio",,"  We describe a simple model for the melting and optical properties of a
DNA/gold nanoparticle aggregate. The optical properties at fixed wavelength
change dramatically at the melting transition, which is found to be higher and
narrower in temperature for larger particles, and much sharper than that of an
isolated DNA link. All these features are in agreement with available
experiments. The aggregate is modeled as a cluster of gold nanoparticles on a
periodic lattice connected by DNA bonds, and the extinction coefficient is
computed using the discrete dipole approximation. Melting takes place as an
increasing number of these bonds break with increasing temperature. The melting
temperature corresponds approximately to the bond percolation threshold.
","[{""version"":""v1"",""created"":""Sat, 10 May 2003 20:44:37 GMT""}]","2009-11-10"
"cond-mat/0305231","Sumiyoshi Abe","Sumiyoshi Abe (Institute of Physics, University of Tsukuba, Ibaraki,
  Japan)","Geometry of escort distributions","12 pages, no figures",,"10.1103/PhysRevE.68.031101",,"cond-mat.stat-mech",,"  Given an original distribution, its statistical and probabilistic attributs
may be scanned by the associated escort distribution introduced by Beck and
Schlogl and employed in the formulation of nonextensive statistical mechanics.
Here, the geometric structure of the one-parameter family of the escort
distributions is studied based on the Kullback-Leibler divergence and the
relevant Fisher metric. It is shown that the Fisher metric is given in terms of
the generalized bit-variance, which measures fluctuations of the crowding index
of a multifractal. The Cramer-Rao inequality leads to the fundamental limit for
precision of statistical estimate of the order of the escort distribution. It
is also quantitatively discussed how inappropriate it is to use the original
distribution instead of the escort distribution for calculating the expectation
values of physical quantities in nonextensive statistical mechanics.
","[{""version"":""v1"",""created"":""Sun, 11 May 2003 08:29:08 GMT""}]","2009-11-10"
"cond-mat/0305232","Liangying","Ying Liang, Tianxing Ma, and Shiping Feng","Unusual charge transport and spin response of doped bilayer triangular
  antiferromagnets","8 pages, Revtex, five figures are included","Commun. Theor. Phys. 39, pp. 749-756 (2003)","10.1088/0253-6102/39/6/749",,"cond-mat.str-el",,"  Within the t-J model, the charge transport and spin response of the doped
bilayer triangular antiferromagnet are studied by considering the bilayer
interaction. Although the bilayer interaction leads to the band splitting in
the electronic structure, the qualitative behaviors of the physical properties
are the same as in the single layer case. The conductivity spectrum shows the
low-energy peak and unusual midinfrared band, the temperature dependent
resistivity is characterized by the nonlinearity metallic-like behavior in the
higher temperature range, and the deviation from the metallic-like behavior in
the lower temperature range, and the commensurate neutron scattering peak near
the half-filling is split into six incommensurate peaks in the underdoped
regime, with the incommensurability increases with the hole concentration at
lower dopings, and saturates at higher dopings.
","[{""version"":""v1"",""created"":""Sun, 11 May 2003 08:30:55 GMT""},{""version"":""v2"",""created"":""Mon, 2 Jun 2003 03:38:16 GMT""}]","2018-01-17"
