"astro-ph/0310520","A. V. Uryson","A. V. Uryson","Identification of Nearby Active Galaxies as Sources of Cosmic Rays Above
  4x10^19 ev","Pages: 6 Bibl: 29. To be published in Astronomical and Astrophysical
  Transactions, 2003, v, 22, # 6",,"10.1080/10556790310001612508",,"astro-ph",,"  Arrival directions of 63 extensive air showers with energies 4 10^19<E<=3
10^20 eV detected by the AGASA, Yakutsk, and Haverah Park arrays are analysed
in order to identify possible sources of cosmic rays with these energies. We
searched for active galactic nuclei within error boxes around the
shower-arrival directions and calculated the probabilities of objects being in
the error boxes by chance. Our previous result obtained in 1996-2001 (see
references in the text) is confirmed: the probabilities are small, P>3 sigma
(sigma is the parameter of Gaussian distribution)for Seyfert galaxies with
redshifts z<0.01. The Seyfert galaxies are characterized by moderate
luminosities (L<10^46 erg/s) and weak radio and X-ray emission.
  Astronomical and Astrophysical Transactions, 2003, v.22, #6, pp.(TBD)
","[{""version"":""v1"",""created"":""Sat, 18 Oct 2003 16:46:35 GMT""}]","2009-11-10"
"astro-ph/0310521","Aaron S. Cohen","A. S. Cohen, H. J. A. Rottgering, M. J. Jarvis, N. E. Kassim and T. J.
  W. Lazio","A Deep, High-Resolution Survey at 74 MHz","31 pages, 11 figures, accepted for publication in ApJS",,"10.1086/380783",,"astro-ph",,"  We present a 74 MHz survey of a 165 square degree region located near the
north galactic pole. This survey has an unprecedented combination of both
resolution (25'' FWHM) and sensitivity (RMS noise as low as 24 mJy/beam). We
detect 949 sources at the 5-sigma level in this region, enough to begin
exploring the nature of the 74 MHz source population. We present differential
source counts, spectral index measurements and the size distribution as
determined from counterparts in the high resolution FIRST 1.4 GHz survey. We
find a trend of steeper spectral indices for the brighter sources. Further,
there is a clear correlation between spectral index and median source size,
with the flat spectrum sources being much smaller on average. Ultra-steep
spectrum objects (alpha < -1.2) are identified, and we present high resolution
VLA follow-up observations of these sources which, identified at such a low
frequency, are excellent candidates for high redshift radio galaxies.
","[{""version"":""v1"",""created"":""Sat, 18 Oct 2003 18:25:25 GMT""}]","2009-11-10"
"astro-ph/0310522","Tamara M. Davis","P. C. W. Davies and Tamara M. Davis","How far can the generalized second law be generalized?","6 pages, 3 figures, reference added","Found.Phys.32:1877-1889,2002",,,"astro-ph",,"  Jacob Bekenstein's identification of black hole event horizon area with
entropy proved to be a landmark in theoretical physics. In this paper we trace
the subsequent development of the resulting generalized second law of
thermodynamics (GSL), especially its extension to incorporate cosmological
event horizons. In spite of the fact that cosmological horizons do not
generally have well-defined thermal properties, we find that the GSL is
satisfied for a wide range of models. We explore in particular the case of an
asymptotically de Sitter universe filled with a gas of small black holes as a
means of casting light on the relative entropic 'worth' of black hole versus
cosmological horizon area. We present some numerical solutions of the
generalized total entropy as a function of time for certain cosmological
models, in all cases confirming the validity of the GSL.
","[{""version"":""v1"",""created"":""Sat, 18 Oct 2003 23:39:47 GMT""}]","2014-10-13"
"astro-ph/0310523","Xiaoping Zheng","Zheng Xiaoping, Pan Nana, Yang Shuhua, Liu Xuewen, Kang Miao","An Astronomical Evidence of Existence of Quark Matter and the Prediction
  for Submillisecond Pulsars","6pages, 2figures","New Astron. 12 (2006) 165-168",,,"astro-ph hep-ph",,"  We derive the bulk viscous time scale of neutron stars with quark matter
core, i.e. hybrid stars. The r-mode instability windows of the stars show the
theoretical result accords with the rapid rotation pulsar data. The fit gives a
strong indication for the existence of quark matter in the interior of neutron
stars. Hybrid stars instead of neutron or strange stars may result in
submillisecond pulsars if they exist.
","[{""version"":""v1"",""created"":""Sun, 19 Oct 2003 08:35:18 GMT""}]","2007-05-23"
"astro-ph/0310524","Tengiz Barnaveli","T. T. Barnaveli, T. T. Barnaveli Jr, N. A. Eristavi, I. V. Khaldeeva
  (Tbilisi Institute of Physics)","Change of Primary Cosmic Radiation Nuclear Conposition in the Energy
  Range $10^{15} - 10^{17}$ eV as a Result of the Interaction with the
  Interstellar Cold Background of Light Particles","13 pages, 3 postscript Figures, 1 postscript Table",,,,"astro-ph",,"  In this paper the updated arguments in favor of a simple model, explaining
from the united positions all peculiarities of the Extensive Air Shower (EAS)
hadron E_h(E_0) (and muon E_mu(E_0)) component energy fluxes dependence on the
primary particle energy E_0 in the primary energy region 10^{15} - 10^{17} eV
are represented. These peculiarities have shapes of consequent distinct deeps
of a widths dE_h/E_h of the order of 0.2 and of relative amplitudes dL/L of the
order of {0.1 - 1.0}, and are difficult to be explained via known astrophysical
mechanisms of particle generation and acceleration. In the basis of the model
lies the destruction of the Primary Cosmic Radiation (PCR) nuclei on some
monochromatic background of interstellar space, consisting of the light
particles of the mass in the area of 36 eV (maybe the component of a dark
matter). The destruction thresholds of PCR different nuclear components
correspond to the peculiarities of E_h(E_0). In this work the results of the
recent treatment of large statistical material are analyzed. The experimental
results are in good agreement with the Monte-Carlo calculations carried out in
the frames of the proposed model.
","[{""version"":""v1"",""created"":""Sun, 19 Oct 2003 11:28:41 GMT""}]","2007-05-23"
"astro-ph/0310525","Doris Folini","Doris Folini, Jean Heyvaerts, Rolf Walder","Structuring and support by Alfven waves around prestellar cores","13 pages, 8 figures, accepted for publication in A&A. The manuscript
  with full color, high-resolution, figures can be downloaded from
  http://www.astro.phys.ethz.ch/papers/folini/folini_p_nf.html","Astron.Astrophys. 414 (2004) 559-572","10.1051/0004-6361:20031647",,"astro-ph",,"  Observations of molecular clouds show the existence of starless, dense cores,
threaded by magnetic fields. Observed line widths indicate these dense
condensates to be embedded in a supersonically turbulent environment. Under
these conditions, the generation of magnetic waves is inevitable. In this
paper, we study the structure and support of a 1D plane-parallel,
self-gravitating slab, as a monochromatic, circularly polarized Alfven wave is
injected in its central plane. Dimensional analysis shows that the solution
must depend on three dimensionless parameters. To study the nonlinear,
turbulent evolution of such a slab, we use 1D high resolution numerical
simulations. For a parameter range inspired by molecular cloud observations, we
find the following. 1) A single source of energy injection is sufficient to
force persistent supersonic turbulence over several hydrostatic scale heights.
2) The time averaged spatial extension of the slab is comparable to the
extension of the stationary, analytical WKB solution. Deviations, as well as
the density substructure of the slab, depend on the wave-length of the injected
wave. 3) Energy losses are dominated by loss of Poynting-flux and increase with
increasing plasma beta. 4) Good spatial resolution is mandatory, making similar
simulations in 3D currently prohibitively expensive.
","[{""version"":""v1"",""created"":""Sun, 19 Oct 2003 14:08:14 GMT""}]","2009-11-10"
"cond-mat/0310433","W. Gilbert Clark","W. G. Clark, Guoqing Wu, P. Ranin, L. K. Montgomery, and L. Balicas","NMR Investigation of the Organic Conductor lambda-(BETS)2FeCl4","Submitted for publication in Advances in Magnetic Resonance as part
  of the special volume for the proceedings of the Colloque AMPERE 2003,
  dedicated to the 70th birthday of Robert Blinc",,,,"cond-mat.str-el",,"  The two-dimensional organic conductor lambda-(BETS)2FeCl4 has an unusual
phase diagram as a function of temperature and magnetic field that includes a
paramagnetic metal (PM) phase, an antiferromagnetic insulating (AFI) phase, and
a field-induced superconducting phase [S. Uji, H. Kobayashi, L. Balicas, and
James S. Brooks, Adv. Mater. 14, 243 (2002), and cited references]. Here, we
report a preliminary investigation of the PM and AFI phases at 9.0 T over the
temperature range 2.0-180 K that uses proton NMR measurements of the spectrum,
the spin-lattice relaxation rate (1/T1), and the spin echo decay rate (1/T2).
The sample is asmall single crystal whose mass is approximately 3 micrograms
(approximately 2E16 protons). Its small size creates several challenges that
include detecting small signals and excluding parasitic proton signals that are
not from the sample [H. N. Bachman and I. F. Silvera, J. Mag. Res. 162, 417
(2003)]. These strategies and other techniques used to obtain viable signals
are described.
","[{""version"":""v1"",""created"":""Sat, 18 Oct 2003 23:27:23 GMT""}]","2007-05-23"
"cond-mat/0310440","Tatsuto Murayama","Tatsuto Murayama","Thouless-Anderson-Palmer Approach for Lossy Compression","10 pages, 3 figures",,"10.1103/PhysRevE.69.035105",,"cond-mat.dis-nn",,"  We study an ill-posed linear inverse problem, where a binary sequence will be
reproduced using a sparce matrix. According to the previous study, this model
can theoretically provide an optimal compression scheme for an arbitrary
distortion level, though the encoding procedure remains an NP-complete problem.
In this paper, we focus on the consistency condition for a dynamics model of
Markov-type to derive an iterative algorithm, following the steps of
Thouless-Anderson-Palmer's. Numerical results show that the algorithm can
empirically saturate the theoretical limit for the sparse construction of our
codes, which also is very close to the rate-distortion function.
","[{""version"":""v1"",""created"":""Sat, 18 Oct 2003 17:22:58 GMT""},{""version"":""v2"",""created"":""Mon, 29 Dec 2003 11:28:38 GMT""}]","2009-11-10"
"cond-mat/0310441","Phan Nham Van","Phan Van-Nham and Tran Minh-Tien","Transport properties in Manganites","This paper has been withdrawn by the author due to a crucial sign
  error in equation (13-15)",,,,"cond-mat.str-el",,"  Transport properties in doped manganites are studied by considering the
Simplified double exchange mechanism in the presence of diagonal disorder. It
is modelled by a combination the Ising double exchange with Faliccov-Kimball
model. In this model, charge order ferromagnetic and transport quantities are
presented by using Dynamical mean-field theory in the case of finite Hund
coupling and disorder strength. Those results suggest that, within this model
the insulator phase can be stated in the range of below charge order
temperature which is suitable with the observations in the experimental
manganites.
","[{""version"":""v1"",""created"":""Sun, 19 Oct 2003 09:24:19 GMT""},{""version"":""v2"",""created"":""Tue, 29 Mar 2016 07:36:09 GMT""}]","2016-03-30"
"cond-mat/0310443","J. Aarts","A.Rusanov, M.Hesselberth, S.Habraken and J.Aarts","Depairing currents in superconductor / ferromagnet Nb/CuNi trilayers
  close to T$_c$","4 pages, 4 figures; to be published in Physica C",,"10.1016/j.physc.2003.11.035",,"cond-mat.supr-con",,"  In superconductor/ferromagnet (S/F) heterostructures, the exchange field
$h_{ex}$ of the F-layer suppresses the superconducting order parameter in the
S-layer via the proximity effect. One issue in current research is the effect
of a domain state, or, more generally, different directions of $h_{ex}$, on the
superconductivity. We used a pulsed-current technique in order to measure the
superconducting transport properties of Cu$_{1-x}$Ni$_x$/Nb/Cu$_{1-x}$Ni$_x$
($x$ = 0.54) F/S/F trilayers structured in strips of about 2 $\mu$m wide and 20
$\mu$m long as function of a small in-plane magnetic field. We find that the
depairing current is tied to the magnetization behavior. In particular, we show
that the suppression of superconductivity in the S-layer is smallest when the
external magnetic field equals the coercive field H$_{c}$ of the F-layers.
","[{""version"":""v1"",""created"":""Sun, 19 Oct 2003 15:20:13 GMT""}]","2009-11-10"
